Age,Male,Female,Total
<1,26069,22740,48809
1,24783,21652,46435
2,24090,21012,45102
3,24435,21157,45592
4,25666,21957,47623
5,27484,23173,50657
6,29589,24561,54150
7,31681,25881,57562
8,33505,26929,60434
9,34989,27659,62648
10,36107,28064,64171
11,36833,28136,64969
12,37141,27868,65009
13,37012,27265,64277
14,36464,26378,62842
15,35525,25273,60798
16,34221,24012,58233
17,32578,22660,55238
18,30640,21280,51920
19,28515,19930,48445
20,26330,18666,44996
21,24209,17544,41753
22,22279,16623,38902
23,20633,15939,36572
24,19232,15460,34692
25,18007,15135,33142
26,16888,14913,31801
27,15804,14743,30547
28,14709,14583,29292
29,13652,14432,28084
30,12702,14299,27001
31,11933,14194,26127
32,11416,14124,25540
33,11196,14091,25287
34,11219,14061,25280
35,11404,13996,25400
36,11671,13854,25525
37,11938,13596,25534
38,12136,13192,25328
39,12233,12653,24886
40,12208,12001,24209
41,12040,11259,23299
42,11707,10449,22156
43,11202,9595,20797
44,10576,8727,19303
45,9892,7879,17771
46,9216,7083,16299
47,8611,6371,14982
48,8123,5768,13891
49,7724,5261,12985
50,7365,4827,12192
51,6999,4445,11444
52,6579,4094,10673
53,6074,3756,9830
54,5518,3433,8951
55,4966,3129,8095
56,4469,2851,7320
57,4079,2605,6684
58,3831,2393,6224
59,3684,2208,5892
60,3581,2041,5622
61,3463,1882,5345
62,3272,1722,4994
63,2968,1553,4521
64,2583,1382,3965
65,2168,1218,3386
66,1773,1068,2841
67,1449,943,2392
68,1231,847,2078
69,1103,776,1879
70,1032,720,1752
71,985,672,1657
72,931,622,1553
73,845,564,1409
74,733,501,1234
75,610,437,1047
76,488,377,865
77,382,325,707
78,301,284,585
79,244,253,497
80,205,229,434
81,177,208,385
82,156,188,344
83,135,165,300
84,114,142,256
85,95,119,214
86,77,96,173
87,61,76,137
88,47,59,106
89,35,44,79
90,25,33,58
91,17,23,40
92,11,16,27
93,7,11,18
94,4,7,11
95,2,5,7
96,1,3,4
97,1,2,3
98,1,1,2
99,1,1,2
100,1,1,2
